iter	Passed	Remaining
1600	41700	10392
1601	41724	10366
1602	41749	10339
1603	41773	10313
1604	41799	10287
1605	41826	10261
1606	41852	10235
1607	41880	10209
1608	41907	10183
1609	41939	10159
1610	41971	10134
1611	42000	10109
1612	42028	10083
1613	42053	10057
1614	42077	10030
1615	42102	10004
1616	42127	9978
1617	42152	9951
1618	42177	9925
1619	42202	9899
1620	42226	9872
1621	42251	9846
1622	42276	9820
1623	42303	9794
1624	42328	9768
1625	42352	9741
1626	42377	9715
1627	42402	9688
1628	42427	9662
1629	42453	9636
1630	42478	9610
1631	42502	9584
1632	42529	9557
1633	42553	9531
1634	42579	9505
1635	42604	9479
1636	42629	9452
1637	42653	9426
1638	42705	9406
1639	42730	9379
1640	42754	9353
1641	42779	9327
1642	42807	9301
1643	42833	9275
1644	42864	9250
1645	42892	9224
1646	42922	9199
1647	42950	9173
1648	42976	9147
1649	43002	9121
1650	43027	9095
1651	43053	9069
1652	43081	9043
1653	43107	9017
1654	43136	8992
1655	43162	8966
1656	43191	8940
1657	43220	8915
1658	43248	8889
1659	43278	8864
1660	43306	8838
1661	43336	8813
1662	43367	8788
